"FROM","TO","SIZE"
1,63,2
1,106,1
1,194,1
1,255,1
1,263,1
1,296,5
1,302,1
1,420,2
1,443,3
1,523,10
1,645,1
1,825,3
2,50,1
2,73,50
2,94,1
2,97,3
2,118,2
2,152,5
2,153,8
2,166,4
2,173,6
2,174,5
2,193,30
2,198,4
2,207,1
2,209,1
2,213,21
2,215,1
2,217,5
2,239,1
2,243,1
2,262,1
2,268,1
2,293,3
2,298,1
2,343,1
2,355,1
2,452,2
2,481,15
2,553,4
2,567,3
2,631,1
2,637,10
2,658,17
2,671,35
2,710,3
2,850,5
2,857,6
3,20,6
3,145,1
3,153,22
3,158,1
3,190,1
3,209,1
3,229,1
3,237,4
3,253,2
3,440,3
3,482,2
3,885,1
4,60,1
4,176,4
4,181,1
4,224,1
4,707,1
5,34,1
5,103,1
5,537,1
5,556,1
6,31,27
6,75,1
6,160,3
6,176,1
6,192,13
6,390,2
6,408,1
6,420,2
6,460,4
7,13,1
7,59,1
7,85,1
7,104,2
7,120,1
7,126,2
7,156,2
7,163,9
7,178,4
7,236,1
7,251,1
7,271,6
8,1,3
8,27,3
8,54,8
8,106,8
8,114,3
8,119,3
8,158,8
8,167,3
8,182,3
8,247,5
8,261,3
8,263,4
8,278,7
8,296,3
8,302,3
8,308,3
8,311,10
8,321,4
8,376,1
8,410,6
8,437,1
8,482,3
8,506,3
8,515,3
8,523,4
8,548,4
8,603,5
8,643,3
8,645,3
8,717,1
8,808,3
8,825,3
9,34,8
9,37,7
9,91,4
9,92,1
9,103,4
9,106,1
9,171,3
9,289,1
9,301,1
10,44,2
10,53,9
10,82,15
10,99,9
10,103,4
10,122,1
10,128,10
10,154,16
10,186,10
10,202,10
10,232,9
10,248,10
10,276,9
10,307,9
10,322,9
10,330,19
10,384,10
10,433,9
10,447,9
10,480,10
10,485,9
10,604,9
11,652,1
13,7,3
13,104,9
13,124,2
13,126,4
13,156,3
13,178,2
13,225,1
13,236,5
13,251,10
13,267,13
13,271,6
13,300,2
13,366,2
13,416,10
13,418,3
14,101,3
14,103,1
14,162,2
14,226,1
14,279,1
14,674,6
15,26,9
15,76,23
15,222,19
15,227,10
15,444,10
16,63,27
16,90,1
16,95,2
16,116,17
16,381,2
16,476,180
16,652,10
16,825,2
17,55,15
17,97,24
17,125,1
17,153,3
17,166,20
17,198,29
17,209,2
17,212,1
17,293,18
17,349,9
17,447,11
17,528,1
17,567,31
17,637,23
18,88,1
18,127,1
18,475,2
18,519,1
19,7,1
19,20,1
19,24,1
19,30,1
19,31,1
19,61,1
19,69,4
19,72,5
19,73,1
19,74,5
19,81,1
19,83,2
19,91,1
19,92,1
19,97,3
19,117,2
19,118,1
19,122,1
19,124,2
19,128,1
19,132,9
19,134,1
19,137,1
19,151,1
19,154,1
19,162,4
19,166,1
19,172,1
19,176,1
19,188,3
19,190,1
19,194,2
19,203,3
19,204,5
19,210,1
19,211,1
19,212,2
19,217,2
19,225,1
19,227,1
19,239,1
19,253,1
19,260,2
19,262,7
19,265,2
19,268,3
19,271,1
19,282,4
19,285,6
19,299,1
19,319,1
19,321,6
19,323,2
19,330,1
19,340,1
19,356,2
19,373,2
19,400,1
19,402,1
19,410,1
19,483,1
19,559,1
19,578,1
