"FROM","TO","SIZE"
1,296,1
1,420,2
1,523,1
1,825,2
2,58,2
2,73,12
2,75,1
2,94,3
2,97,2
2,153,11
2,166,4
2,173,2
2,193,9
2,209,2
2,213,2
2,215,2
2,217,1
2,239,1
2,243,1
2,268,1
2,298,1
2,343,1
2,481,3
2,536,1
2,553,1
2,658,4
2,671,5
2,722,1
2,857,3
3,20,7
3,44,3
3,96,1
3,153,13
3,158,1
3,166,1
3,173,2
3,190,1
3,212,4
3,231,2
3,357,1
3,441,1
3,664,1
3,669,1
4,160,1
4,333,1
4,508,1
5,556,1
6,31,6
6,192,3
6,237,1
6,408,1
6,460,1
6,707,2
7,77,1
7,168,1
7,300,1
8,1,2
8,27,4
8,54,6
8,106,3
8,114,2
8,119,2
8,158,2
8,167,2
8,182,3
8,247,2
8,261,4
8,263,2
8,278,2
8,296,2
8,302,3
8,308,2
8,311,2
8,312,2
8,321,2
8,410,3
8,482,2
8,506,3
8,515,2
8,523,2
8,548,2
8,603,2
8,643,2
8,645,3
8,717,2
8,808,2
8,825,2
9,37,7
9,103,4
9,121,1
9,176,2
9,301,1
9,556,3
9,727,6
9,729,1
10,53,4
10,82,6
10,98,1
10,99,7
10,122,1
10,128,8
10,154,9
10,186,4
10,202,4
10,232,4
10,248,5
10,276,5
10,291,1
10,307,7
10,312,1
10,320,1
10,322,4
10,330,9
10,384,5
10,433,4
10,447,5
10,480,7
10,485,4
10,604,4
11,41,2
11,79,2
11,201,2
11,214,2
11,247,1
11,270,2
11,310,2
11,312,1
11,313,2
11,316,2
11,328,2
11,334,2
11,360,2
11,367,2
11,427,2
11,446,2
11,479,2
11,592,2
11,605,2
11,636,2
11,652,3
11,677,2
11,828,2
11,915,2
13,124,3
13,156,1
13,203,1
13,204,1
13,236,1
13,251,4
13,262,1
13,271,2
13,416,4
13,611,2
13,786,2
14,101,9
14,162,1
14,189,1
14,279,1
14,674,1
15,26,1
15,76,2
15,222,10
15,227,2
15,444,1
16,63,5
16,205,1
16,476,7
16,825,1
17,55,3
17,97,3
17,166,7
17,198,12
17,209,7
17,215,3
17,293,7
17,349,6
17,447,4
17,528,1
17,536,1
17,567,5
17,591,1
17,637,6
19,2,1
19,24,1
19,72,1
19,73,1
19,84,1
19,91,2
19,97,1
19,128,2
19,134,1
19,154,1
19,162,1
19,165,1
19,176,3
19,180,1
19,190,1
19,195,1
19,204,1
19,211,3
19,217,3
19,225,1
19,239,1
19,253,2
19,262,9
19,282,1
19,285,1
19,288,1
19,299,2
19,333,1
19,431,1
19,475,1
19,584,2
20,3,4
20,34,1
20,82,1
20,103,1
20,118,1
20,125,1
20,213,1
20,249,1
20,357,1
20,441,1
20,462,1
20,664,2
21,36,1
21,42,2
21,235,2
21,429,115
21,448,2
22,34,1
22,725,2
24,76,1
24,170,1
26,24,1
26,64,1
