"FROM","TO","SIZE"
1,54,1
1,63,1
1,149,2
1,158,2
1,191,2
1,296,9
1,443,2
1,445,1
1,576,1
1,825,2
2,3,1
2,58,1
2,73,75
2,94,9
2,97,9
2,131,2
2,141,4
2,152,4
2,153,3
2,166,6
2,173,19
2,174,19
2,193,23
2,198,6
2,213,7
2,217,22
2,239,3
2,243,3
2,298,6
2,355,3
2,358,1
2,378,2
2,481,2
2,591,3
2,857,9
3,2,1
3,20,15
3,23,2
3,44,2
3,46,1
3,93,1
3,106,2
3,120,3
3,124,1
3,141,1
3,153,19
3,158,2
3,166,1
3,173,1
3,205,2
3,209,4
3,221,1
3,251,1
3,257,1
3,302,1
3,327,1
3,354,2
3,404,1
3,498,1
4,224,5
4,398,1
4,529,1
4,571,1
5,84,1
5,221,2
5,433,3
5,537,1
5,545,3
6,31,9
6,48,2
6,192,6
6,220,2
6,274,1
6,333,1
6,399,1
6,460,1
6,525,2
6,593,1
6,650,1
7,124,7
7,126,2
7,163,10
7,178,2
7,251,2
7,271,7
7,415,10
7,436,1
8,1,4
8,19,3
8,27,5
8,54,9
8,100,1
8,106,10
8,114,4
8,119,4
8,157,4
8,158,9
8,182,6
8,247,4
8,261,5
8,262,1
8,263,5
8,278,13
8,296,4
8,302,4
8,308,6
8,311,7
8,312,1
8,321,6
8,389,4
8,410,10
8,482,5
8,506,6
8,523,5
8,533,1
8,548,4
8,603,4
8,643,4
8,645,4
8,808,4
8,825,6
8,832,5
9,22,2
9,25,1
9,34,6
9,84,7
9,121,1
9,160,2
9,301,6
9,443,1
9,556,1
10,44,4
10,50,1
10,53,14
10,82,13
10,99,14
10,122,1
10,128,13
10,154,16
10,186,14
10,202,14
10,232,14
10,248,14
10,276,15
10,307,15
10,322,13
10,330,23
10,384,13
10,433,17
10,447,14
10,480,14
10,485,10
11,19,2
11,23,24
11,41,26
11,74,1
11,78,1
11,79,22
11,81,1
11,98,1
11,176,2
11,201,24
11,214,23
11,227,16
11,247,37
11,262,1
11,270,20
11,310,20
11,313,13
11,316,23
11,328,15
11,334,20
11,360,26
11,367,21
11,427,3
11,446,20
11,479,20
11,605,18
11,636,2
11,674,2
11,677,15
11,828,23
13,77,1
13,104,1
13,124,2
13,126,4
13,156,6
13,251,9
13,267,7
13,402,1
13,418,1
14,43,2
14,101,43
14,169,2
14,216,2
14,325,3
14,674,7
15,26,13
15,76,32
15,222,50
15,444,11
15,503,1
15,515,1
16,63,6
16,90,2
16,476,5
16,859,1
17,55,3
17,58,1
17,97,2
17,153,1
17,166,2
17,173,1
17,209,5
17,293,1
17,349,4
17,447,8
18,40,5
18,47,2
18,79,2
18,88,3
18,110,3
18,138,2
18,200,4
18,208,6
18,216,3
18,240,1
18,268,3
18,290,1
18,310,2
18,424,4
18,453,1
19,8,2
19,11,1
19,22,1
19,24,2
19,36,1
19,44,1
19,56,1
19,64,1
19,67,2
19,68,3
19,69,8
19,72,10
19,73,7
19,83,1
19,97,4
19,109,1
19,112,1
19,118,1
19,130,1
19,132,2
19,145,5
19,151,1
19,165,3
19,166,1
19,169,4
19,171,3
19,180,1
19,203,2
19,212,2
19,226,3
19,235,2
19,237,1
19,250,1
19,253,1
19,258,2
19,260,4
19,262,22
19,268,11
19,275,1
19,285,2
19,288,12
19,291,1
19,299,1
19,303,1
19,321,1
19,325,1
19,392,2
19,425,1
19,463,1
19,472,4
19,486,2
19,578,2
19,826,1
19,850,3
19,899,1
20,3,1
20,38,1
20,49,2
20,82,1
20,95,1
20,134,1
20,153,4
20,177,1
20,200,1
20,201,1
20,205,2
20,309,2
20,441,3
20,488,1
21,42,1
21,63,2
21,235,1
21,429,31
22,9,5
22,19,1
22,30,11
22,32,2
22,34,2
22,133,2
22,180,10
22,285,2
22,336,1
22,377,2
22,383,1
22,518,2
22,522,4
22,534,1
22,547,1
22,725,2
23,3,2
23,11,11
23,91,5
23,92,1
23,106,2
23,142,2
23,184,3
23,187,2
23,196,1
23,227,5
23,319,1
24,19,1
24,26,3
24,76,3
24,87,4
24,170,2
24,318,4
24,444,2
25,121,9
25,512,15
26,15,2
26,24,5
26,68,1
26,76,3
26,135,6
26,222,1
26,312,1
26,370,8
26,444,8
26,569,3
27,8,6
27,106,13
27,114,8
27,372,10
27,496,7
27,515,8
28,46,32
28,53,36
28,57,1
28,101,11
28,257,1
28,265,39
30,19,1
30,22,8
30,32,1
30,83,19
30,91,2
30,120,2
30,139,1
30,282,18
30,336,1
30,376,1
30,522,13
30,524,4
31,6,7
31,136,1
31,181,1
31,190,1
31,220,8
31,358,1
31,460,5
31,511,1
32,5,1
32,8,1
32,11,1
32,22,2
32,29,2
32,30,1
32,34,4
32,44,1
32,54,1
32,64,4
32,73,1
32,76,2
32,83,4
32,84,1
32,87,1
32,89,2
32,96,1
32,97,1
32,102,2
32,109,1
32,118,1
32,120,2
32,126,1
32,134,2
32,145,2
32,151,1
32,165,1
32,169,1
32,174,1
32,180,2
32,181,1
32,187,14
32,188,1
32,196,1
32,210,3
32,211,1
32,228,1
32,235,2
32,240,1
32,268,1
32,269,3
32,281,1
32,285,1
32,303,3
32,309,1
32,312,6
32,313,1
32,314,1
32,319,1
32,323,1
32,326,1
32,330,1
32,331,1
32,362,2
32,373,1
32,385,1
32,394,1
32,403,1
32,410,1
32,411,1
32,441,1
32,460,1
32,472,1
32,486,5
32,512,1
32,527,1
32,547,2
32,561,1
32,578,1
32,606,1
32,638,1
32,683,1
32,698,1
32,808,1
32,825,1
32,828,1
32,829,2
32,843,1
32,853,1
32,891,1
32,898,1
33,34,55
33,51,1
33,58,4
33,84,2
33,132,7
33,154,1
33,355,4
34,5,16
34,9,64
34,19,1
34,22,5
34,23,1
34,32,3
34,33,57
34,37,2
34,50,1
34,51,10
34,58,5
34,81,1
34,83,6
34,84,5
34,89,1
34,91,6
34,98,7
34,102,5
34,117,1
34,128,1
34,150,12
34,169,1
34,181,1
34,183,1
34,187,3
34,221,38
34,235,1
34,239,1
34,262,1
34,268,2
34,278,1
34,309,1
34,312,4
34,313,1
34,326,2
34,330,1
34,331,1
34,441,2
34,472,2
34,545,17
34,556,2
34,561,15
34,602,2
34,606,1
34,640,1
34,825,1
35,103,5
35,144,1
36,19,2
36,61,1
36,161,3
36,235,3
36,280,2
36,285,2
37,9,7
37,34,4
37,108,5
37,121,3
37,139,3
37,341,1
37,355,2
37,420,4
37,539,6
37,585,1
37,596,3
38,35,4
38,103,7
38,144,1
38,145,3
38,146,7
38,147,1
38,174,1
38,215,1
38,280,1
38,355,1
39,49,1
39,90,2
39,105,1
39,108,1
39,168,1
39,203,1
39,340,1
39,348,1
39,378,3
39,392,1
39,402,1
39,404,1
39,469,1
39,662,4
40,18,1
40,66,2
40,116,2
40,176,3
40,208,3
40,281,1
40,303,1
40,380,2
40,456,1
41,11,2
41,74,2
41,313,2
41,367,2
41,413,1
41,468,1
41,575,1
41,605,2
42,21,5
42,36,1
42,61,1
42,83,1
42,132,1
42,161,5
42,172,1
42,235,4
42,280,3
42,282,2
42,285,2
42,299,1
42,309,2
42,359,1
42,383,2
42,400,1
42,431,4
42,466,8
42,468,10
42,562,4
42,694,3
42,712,1
42,725,2
43,14,4
43,44,1
43,53,2
43,101,1
43,112,8
43,134,1
43,143,2
43,162,2
43,169,14
43,185,1
43,262,1
43,279,2
43,305,12
43,325,1
43,337,3
43,342,5
43,384,2
43,409,5
43,651,1
43,674,1
44,3,4
44,10,6
44,19,2
44,32,1
44,43,2
44,57,30
44,78,31
44,80,31
44,81,42
44,107,1
44,112,2
44,122,30
44,148,33
44,164,33
44,171,1
44,189,49
44,195,57
44,239,1
44,242,1
44,249,36
44,254,33
44,257,27
44,262,1
44,279,1
44,289,1
44,309,2
44,312,1
44,432,30
44,440,32
44,463,1
44,840,26
44,841,26
45,97,1
45,108,6
45,137,1
45,234,6
45,312,1
45,452,2
46,28,2
46,101,14
46,279,3
46,337,2
46,757,15
47,18,1
47,80,16
47,87,2
47,93,1
47,200,3
47,240,1
47,277,1
48,6,1
48,14,1
48,20,1
48,79,1
48,88,2
48,89,2
48,110,1
48,134,10
48,231,2
48,238,1
48,292,1
48,299,1
48,319,1
48,325,1
48,360,1
48,380,1
48,410,1
48,419,2
48,475,5
48,478,1
48,549,1
48,827,1
48,828,2
48,831,2
49,13,1
49,20,1
49,130,1
49,203,1
49,242,1
49,392,1
49,402,2
49,404,2
49,701,1
50,2,1
50,10,1
50,34,1
50,78,5
50,102,1
50,143,3
50,150,2
50,165,1
50,194,1
50,223,2
50,234,1
50,235,1
50,267,1
50,283,1
50,307,1
50,401,2
50,586,1
50,590,1
50,674,1
50,853,1
51,33,1
51,34,6
51,75,1
51,137,2
51,187,2
51,202,1
52,64,1
52,125,6
52,212,25
52,343,6
53,10,2
53,28,15
53,43,4
53,67,1
53,82,1
53,101,5
53,122,1
53,128,16
53,154,1
53,186,1
53,226,4
53,232,1
53,249,1
53,271,5
53,276,12
53,283,5
53,364,6
53,409,1
53,451,5
53,470,1
54,1,1
54,8,2
54,74,1
54,79,1
54,138,3
54,263,1
54,311,3
54,523,1
55,17,12
55,166,3
55,174,4
55,215,2
55,217,10
55,243,1
55,349,2
56,84,6
56,153,1
56,165,2
56,197,6
56,294,5
56,350,5
56,386,3
56,425,1
56,537,1
57,28,1
57,44,1
57,122,3
57,148,5
57,189,1
57,257,23
57,440,4
58,17,1
58,19,1
58,33,2
58,34,2
58,55,1
58,85,1
58,115,2
58,141,1
58,174,3
58,207,6
58,215,11
58,243,3
58,262,3
58,298,1
58,349,4
58,355,13
58,528,6
58,591,1
58,850,2
59,7,1
59,13,1
59,77,5
59,124,1
59,126,13
59,236,7
59,251,7
59,267,1
59,271,8
59,300,10
59,366,6
59,401,6
59,436,1
60,4,1
60,20,1
60,160,1
60,176,1
60,274,3
60,358,4
60,398,1
60,529,2
61,19,4
61,165,1
61,225,1
61,235,7
61,285,2
61,353,1
61,431,2
62,117,7
62,268,1
62,318,8
62,456,1
62,492,2
63,16,18
63,21,2
63,188,1
63,429,1
63,745,1
64,19,1
64,32,15
64,76,9
64,111,4
64,130,1
64,171,1
64,176,6
64,187,2
64,197,7
64,262,2
64,268,4
64,289,3
64,309,1
64,312,1
64,316,1
64,320,6
64,376,1
64,437,8
64,597,1
64,665,1
65,93,4
65,218,4
65,428,1
65,471,3
65,839,1
65,843,2
66,40,2
66,208,1
67,99,1
67,128,1
67,186,1
67,226,1
67,409,1
67,472,1
67,583,1
68,98,2
68,486,1
68,492,1
69,19,14
69,130,3
69,171,3
69,262,1
70,84,2
70,100,2
70,183,14
70,187,1
70,227,4
70,239,1
70,347,2
70,504,1
71,93,2
71,356,2
71,577,1
71,697,1
72,19,13
72,96,2
72,194,2
72,262,1
72,323,19
72,379,1
72,393,12
72,411,1
72,442,6
72,521,5
72,584,2
72,868,1
73,2,48
73,19,4
73,85,1
73,130,1
73,131,1
73,141,1
73,166,3
73,173,15
73,174,9
73,193,7
73,213,1
73,217,4
73,262,9
73,298,2
73,349,1
73,355,1
73,850,1
73,857,4
74,16,4
74,41,5
74,54,2
74,79,5
74,100,1
74,116,5
74,134,1
74,169,1
74,195,1
74,231,5
74,240,4
74,262,1
74,288,2
74,301,4
74,313,1
74,334,4
74,362,1
74,389,3
74,454,11
74,474,4
74,478,4
74,486,1
74,546,4
74,575,4
74,603,4
74,624,1
74,839,4
75,11,1
75,23,2
75,30,1
75,66,1
75,69,1
75,73,1
75,78,4
75,83,2
75,84,1
75,87,2
75,91,3
75,111,2
75,122,1
75,132,1
75,142,1
75,166,1
75,169,3
75,184,2
75,204,1
75,208,2
75,226,2
75,231,3
75,237,3
75,246,1
75,255,2
75,281,1
75,285,1
75,305,1
75,313,1
75,378,1
75,442,1
75,445,2
75,453,1
75,454,1
75,460,1
75,472,2
75,474,2
75,488,2
75,512,2
75,578,2
75,827,3
76,15,25
76,24,10
76,26,18
76,32,23
76,64,13
76,68,2
76,111,1
76,117,1
76,124,1
76,130,1
76,135,11
76,170,13
76,203,6
76,222,24
76,285,1
76,312,24
76,370,2
76,376,1
76,390,1
76,444,9
76,529,1
76,616,1
76,665,1
76,904,1
77,7,1
77,19,1
77,59,4
77,85,3
77,104,2
77,124,4
77,126,5
77,163,1
77,262,2
77,300,1
77,394,1
77,436,1
78,44,8
78,50,1
78,57,3
78,74,2
78,75,3
78,81,7
78,98,2
78,99,2
78,128,1
78,148,7
78,154,1
78,164,3
78,165,2
78,169,9
78,186,1
78,189,3
78,226,2
78,232,1
78,248,4
78,254,2
78,257,4
78,272,3
78,307,2
78,309,1
78,322,1
78,330,7
78,362,2
78,409,3
78,432,7
78,440,4
78,447,1
78,451,1
78,470,1
78,472,6
78,641,1
78,674,1
79,11,1
79,18,1
79,54,1
79,74,2
79,134,1
79,208,1
79,315,1
79,828,6
80,44,1
80,47,13
80,81,3
80,95,7
80,122,4
80,216,7
80,249,2
80,440,1
80,525,2
81,11,1
81,34,1
81,44,35
81,57,1
81,78,2
81,80,5
81,98,5
81,122,10
81,148,1
81,164,1
81,189,7
81,195,33
81,249,9
81,253,1
81,254,3
81,307,1
81,437,3
81,440,1
81,472,1
82,10,3
82,20,2
82,103,2
82,154,3
82,248,1
82,320,1
82,533,1
83,19,2
83,30,15
83,34,4
83,75,2
83,91,1
83,120,1
83,133,1
83,137,3
83,172,14
83,180,13
83,187,1
83,223,3
83,262,2
83,377,1
83,383,1
83,431,2
83,460,1
83,518,1
83,522,2
83,547,1
83,725,1
84,5,2
84,9,5
84,19,1
84,33,1
84,34,5
84,56,9
84,70,3
84,121,7
84,130,1
84,150,2
84,165,5
84,187,1
84,221,3
84,269,1
84,341,6
84,347,12
84,537,2
84,539,3
84,545,2
84,561,3
85,58,2
85,73,2
85,77,2
85,97,1
85,115,6
85,126,3
85,131,2
85,141,1
85,145,1
85,174,15
85,207,6
85,217,7
85,230,3
85,309,1
85,316,1
85,323,1
85,355,1
85,394,6
85,402,1
85,513,2
86,102,2
86,191,20
86,201,1
86,261,10
86,290,1
86,342,1
86,345,3
86,427,1
86,471,1
87,24,1
87,47,1
87,93,16
87,98,2
87,102,6
87,110,2
87,143,1
87,191,4
87,218,1
87,231,2
87,240,3
87,277,2
87,317,2
87,319,2
87,331,3
87,346,1
87,356,1
87,407,1
87,428,2
87,444,4
87,453,2
87,455,1
87,498,1
87,507,1
87,525,3
87,543,1
87,549,1
87,612,1
87,726,4
87,827,5
88,18,3
88,40,1
88,48,1
88,95,1
88,138,2
88,155,4
88,208,11
88,216,3
88,240,1
88,245,2
88,303,1
88,304,2
88,371,2
88,424,4
88,475,1
88,478,1
88,491,2
88,836,1
89,23,1
