"FROM","TO","SIZE"
1,8,1
1,106,1
1,255,1
1,268,2
1,296,1
1,523,3
1,825,2
2,38,1
2,73,76
2,75,1
2,94,1
2,118,1
2,135,1
2,141,4
2,147,8
2,153,9
2,162,1
2,166,7
2,173,8
2,174,18
2,193,13
2,207,1
2,213,9
2,215,3
2,217,45
2,239,1
2,243,1
2,293,1
2,298,1
2,481,19
2,631,2
2,658,7
2,671,5
2,688,1
2,709,7
2,723,1
2,798,1
2,857,1
3,20,5
3,60,1
3,70,2
3,118,2
3,153,9
3,158,2
3,162,3
3,187,2
3,309,2
3,343,1
3,357,3
3,441,2
3,442,2
3,551,1
4,181,2
4,408,3
4,511,1
4,529,1
4,707,1
5,34,3
5,84,1
5,133,2
5,221,2
5,312,1
5,336,1
5,545,6
5,561,1
5,703,4
6,31,14
6,120,2
6,176,2
6,190,2
6,192,1
6,333,1
6,408,1
6,541,2
7,126,2
7,145,2
7,163,2
7,168,1
7,178,1
7,203,1
7,251,2
7,436,1
8,1,30
8,27,32
8,54,38
8,98,1
8,106,37
8,114,31
8,119,30
8,158,33
8,167,30
8,182,32
8,247,30
8,261,31
8,263,30
8,278,30
8,296,30
8,302,30
8,308,30
8,311,30
8,321,32
8,383,1
8,410,33
8,424,27
8,482,33
8,506,30
8,515,30
8,523,33
8,548,30
8,603,32
8,643,30
8,645,30
8,717,33
8,781,2
8,808,30
9,34,7
9,58,1
9,83,1
9,106,2
9,109,2
9,121,6
9,221,1
9,291,2
10,44,1
10,53,7
10,78,1
10,82,9
10,99,13
10,128,14
10,154,11
10,162,2
10,186,11
10,202,9
10,227,2
10,232,7
10,248,12
10,276,6
10,283,1
10,307,10
10,313,1
10,322,12
10,330,14
10,384,11
10,433,9
10,447,6
10,472,1
10,480,11
10,485,7
10,604,6
10,781,1
10,782,1
10,966,1
11,41,1
11,79,1
11,201,1
11,214,1
11,270,1
11,310,1
11,313,1
11,316,2
11,328,1
11,334,1
11,360,1
11,367,1
11,427,1
11,446,1
11,479,1
11,605,1
11,636,1
11,652,1
11,677,1
11,754,1
11,755,1
11,756,1
11,828,1
11,915,1
13,77,2
13,104,1
13,124,3
13,126,5
13,171,2
13,242,2
13,267,4
13,271,1
13,416,1
13,786,1
14,43,2
14,101,5
14,162,2
14,226,1
14,305,2
14,463,1
14,674,7
15,76,17
15,222,11
15,227,10
15,444,8
16,63,32
16,116,21
16,208,2
16,381,4
16,476,81
16,488,1
16,652,2
16,905,3
17,97,5
17,131,2
17,153,2
17,198,4
17,209,4
17,213,2
17,215,1
17,243,1
17,293,2
17,343,5
17,447,8
17,528,2
17,567,2
17,637,12
17,779,1
18,40,4
18,66,4
18,74,5
18,88,1
18,138,3
18,208,2
18,424,1
19,262,15
19,268,1
20,3,4
20,38,1
20,44,1
20,106,1
20,153,2
20,209,1
20,213,1
20,357,2
20,441,4
20,652,1
20,756,1
20,762,1
21,429,94
21,448,1
22,34,2
22,75,2
22,130,2
22,133,7
22,180,1
22,262,1
22,312,1
22,725,7
23,31,1
23,118,1
23,134,2
23,166,1
23,313,2
23,503,1
24,318,1
24,376,1
24,444,21
27,8,2
27,106,5
27,114,2
27,308,1
27,372,1
27,515,1
27,781,1
28,46,9
28,53,9
28,101,9
28,257,12
28,265,11
28,432,1
28,463,2
28,583,8
29,187,2
29,288,3
29,329,3
29,362,1
29,624,5
29,656,2
29,826,2
30,83,7
30,85,2
30,207,2
30,282,14
30,314,1
30,394,1
30,522,14
31,6,17
31,23,1
31,123,1
31,181,2
31,190,3
31,333,1
31,399,2
31,405,1
31,426,1
31,439,2
31,460,3
31,511,3
31,516,3
31,541,2
31,593,1
31,704,3
31,794,1
32,5,1
32,41,1
32,64,9
32,76,10
32,89,1
32,118,8
32,147,1
32,151,2
32,162,2
32,169,2
32,176,2
32,185,2
32,187,10
32,228,1
32,268,10
32,289,1
32,305,2
32,312,16
32,318,2
32,437,3
32,456,1
32,480,5
32,540,1
32,652,1
33,9,2
33,34,28
33,37,4
33,58,1
33,84,1
33,132,5
33,143,2
33,355,2
34,5,30
34,9,56
34,22,2
34,33,21
34,44,1
34,51,5
34,64,1
34,83,3
34,84,1
34,89,2
34,91,2
34,92,2
34,106,1
34,109,2
34,118,5
34,120,6
34,121,3
34,126,1
34,145,1
34,150,16
34,160,1
34,169,3
34,187,7
34,188,1
34,204,3
34,221,26
34,234,1
34,235,3
34,262,1
34,268,1
34,282,1
34,289,3
34,301,19
34,312,3
34,313,1
34,347,2
34,413,4
34,545,16
34,556,5
34,561,42
34,573,1
34,614,1
34,650,1
34,734,1
35,38,2
35,58,1
35,103,1
35,131,1
35,144,8
35,323,2
36,19,1
36,42,1
36,262,1
36,285,1
36,359,1
37,9,1
37,51,1
37,58,2
37,121,1
37,139,2
37,259,1
37,266,1
37,301,1
37,420,2
37,550,1
38,35,2
38,103,4
38,131,1
38,144,4
38,145,4
38,146,1
38,147,1
38,162,1
38,217,1
38,349,2
38,637,1
39,105,2
39,108,1
39,203,2
39,348,2
39,378,3
39,392,1
40,18,3
40,138,1
40,245,3
40,281,7
40,476,2
41,75,1
41,181,2
41,234,3
41,248,2
41,462,2
41,652,2
42,21,4
42,36,1
42,100,2
42,196,1
42,280,3
42,359,1
42,431,1
42,462,7
42,466,6
43,14,6
43,53,1
43,74,1
43,101,1
43,112,2
43,162,15
43,169,22
43,185,3
43,225,1
43,226,3
43,229,2
43,249,1
43,255,1
43,279,3
43,283,2
43,305,18
43,337,1
43,342,2
43,354,1
43,383,1
43,400,1
43,409,1
43,451,2
43,484,1
43,641,1
43,651,2
43,674,2
43,693,4
43,773,1
44,10,2
44,20,1
44,57,9
44,78,12
44,80,9
44,81,15
44,122,7
44,134,1
44,148,7
44,162,1
44,164,8
44,165,1
44,166,2
44,169,1
44,187,1
44,189,11
44,195,15
44,228,2
44,249,10
44,254,12
44,257,8
44,262,2
44,312,1
44,313,1
44,330,1
44,432,9
44,440,11
44,463,2
44,472,1
44,503,1
44,583,3
44,661,3
44,711,7
44,744,4
44,773,8
44,813,3
45,97,2
45,234,8
45,263,1
46,101,18
46,185,2
46,279,3
46,757,19
47,80,1
47,240,1
47,726,1
48,40,1
48,54,1
48,88,2
48,95,1
48,134,1
48,176,1
48,191,1
48,225,3
48,245,1
48,247,1
48,259,1
48,273,1
48,319,1
48,321,1
48,342,1
48,380,2
48,381,1
48,410,1
48,420,4
48,445,1
48,462,1
48,475,4
48,519,1
48,523,1
48,546,1
48,636,1
48,756,1
49,84,1
49,203,1
49,204,1
49,242,1
49,340,1
49,733,1
49,734,1
50,5,1
50,42,1
50,97,1
50,103,1
50,133,2
50,141,1
50,143,16
50,169,1
50,234,1
50,250,1
50,270,1
50,282,1
50,307,2
50,309,1
50,345,1
50,353,1
50,402,1
50,407,1
50,475,1
50,547,1
50,624,2
50,725,1
51,34,3
51,75,1
51,137,3
52,97,4
52,103,1
52,125,4
52,147,1
52,198,1
52,209,1
52,212,5
52,215,1
52,228,1
52,268,2
52,343,3
52,437,1
52,709,1
52,781,1
53,10,1
53,43,2
53,57,1
53,82,3
53,99,1
53,101,7
53,112,1
53,128,7
53,154,2
53,186,5
53,226,3
53,232,6
53,248,1
53,249,2
53,271,6
53,276,8
53,283,2
53,305,1
53,322,5
53,375,1
53,384,1
53,433,1
53,462,4
53,485,1
53,651,2
53,674,3
53,693,2
53,755,15
53,757,11
54,8,5
54,74,1
54,106,1
54,138,2
54,225,1
54,261,1
