"FROM","TO","SIZE"
1,8,1
1,20,1
1,63,2
1,106,1
1,153,1
1,296,3
1,413,1
1,443,4
1,523,2
1,825,6
2,52,2
2,58,5
2,73,163
2,75,4
2,94,4
2,125,5
2,141,11
2,147,20
2,152,11
2,153,6
2,166,2
2,173,21
2,174,45
2,193,27
2,209,1
2,213,25
2,215,6
2,217,109
2,239,2
2,243,1
2,268,2
2,293,3
2,298,6
2,349,14
2,355,1
2,481,6
2,553,3
2,591,4
2,631,2
2,658,23
2,671,26
2,688,8
2,709,23
2,723,3
2,798,2
2,857,1
3,20,13
3,23,2
3,39,1
3,57,1
3,60,1
3,74,3
3,91,2
3,118,1
3,145,1
3,147,1
3,153,14
3,173,2
3,212,1
3,221,1
3,268,2
3,269,1
3,302,2
3,305,2
3,309,1
3,333,3
3,343,3
3,357,2
3,389,2
3,413,3
3,447,1
3,448,2
3,454,2
3,470,1
3,494,1
3,498,1
3,545,1
3,556,1
3,624,2
3,652,2
3,669,1
3,709,1
3,765,1
3,806,1
3,938,2
4,60,1
4,75,2
4,181,9
4,420,1
4,508,2
4,704,1
5,34,3
5,56,1
5,235,2
5,545,2
5,703,5
6,31,15
6,48,1
6,60,2
6,176,1
6,181,1
6,192,5
6,206,1
6,405,1
6,650,1
6,704,1
6,707,1
7,77,1
7,104,1
7,124,1
7,126,5
7,135,2
7,145,1
7,163,1
7,168,2
7,178,2
7,401,1
7,436,2
7,768,1
8,1,25
8,27,31
8,54,34
8,70,4
8,100,3
8,106,30
8,114,26
8,119,28
8,158,28
8,167,27
8,182,28
8,228,2
8,247,26
8,261,28
8,263,28
8,278,28
8,281,2
8,296,26
8,302,27
8,308,25
8,311,25
8,321,25
8,347,1
8,410,30
8,424,25
8,482,28
8,506,25
8,515,6
8,523,25
8,548,27
8,603,15
8,614,1
8,643,26
8,645,26
8,717,25
8,781,1
8,808,25
9,22,3
9,34,5
9,37,1
9,83,1
9,91,2
9,106,1
9,139,2
9,143,1
9,160,2
9,291,1
9,301,3
9,330,1
10,44,2
10,53,14
10,67,2
10,82,14
10,99,15
10,128,15
10,154,19
10,162,2
10,186,18
10,195,1
10,202,13
10,232,14
10,248,15
10,262,1
10,276,14
10,307,14
10,322,15
10,330,18
10,384,16
10,433,13
10,447,13
10,470,1
10,472,1
10,480,15
10,485,15
10,604,13
10,782,1
11,79,1
11,316,1
11,334,1
11,360,1
11,367,1
13,59,1
13,77,3
13,124,4
13,125,2
13,126,5
13,156,1
13,271,2
13,416,3
14,101,21
14,169,1
14,176,1
14,189,2
14,262,1
14,451,1
14,674,16
14,693,1
15,76,42
15,222,34
15,227,20
15,444,15
16,63,26
16,90,4
16,116,16
16,381,2
16,476,76
16,488,1
16,652,4
16,705,3
17,52,2
17,55,3
17,85,2
17,97,8
17,125,6
17,131,1
17,141,1
17,153,1
17,174,2
17,198,5
17,209,2
17,213,1
17,293,5
17,343,1
17,349,2
17,447,2
17,528,4
17,536,3
17,567,1
17,637,29
18,66,3
18,74,1
18,138,4
18,158,1
18,208,7
18,216,2
18,303,1
18,475,2
18,793,2
