"FROM","TO","SIZE"
1,63,4
1,149,1
1,296,8
1,413,1
1,523,1
1,825,6
2,50,1
2,58,4
2,73,98
2,85,1
2,94,10
2,97,1
2,131,4
2,141,7
2,147,1
2,152,5
2,153,10
2,166,3
2,173,62
2,174,17
2,193,51
2,194,4
2,198,1
2,209,2
2,213,14
2,217,29
2,239,4
2,243,4
2,293,2
2,298,10
2,349,1
2,355,3
2,378,1
2,481,8
2,513,1
2,857,8
3,2,1
3,20,9
3,44,1
3,45,4
3,97,3
3,116,1
3,129,2
3,153,11
3,158,2
3,166,2
3,173,1
3,187,2
3,209,2
3,221,1
3,231,1
3,251,1
3,333,1
3,349,1
3,354,2
3,357,1
3,419,1
3,431,6
3,441,1
3,716,1
4,224,2
4,398,1
4,529,1
4,615,1
5,160,2
5,266,1
5,307,1
5,432,2
5,537,1
5,545,1
6,31,13
6,48,2
6,50,2
6,60,1
6,136,1
6,192,9
6,220,2
6,408,1
6,460,3
6,529,2
6,530,1
7,19,5
7,59,2
7,124,1
7,145,1
7,163,3
7,178,4
7,230,1
7,415,2
8,1,7
8,23,1
8,27,8
8,54,10
8,106,11
8,114,7
8,119,8
8,157,7
8,158,9
8,182,8
8,227,1
8,247,8
8,261,8
8,263,7
8,278,15
8,281,1
8,296,7
8,302,7
8,308,8
8,311,10
8,321,9
8,389,8
8,410,9
8,482,9
8,506,9
8,523,7
8,548,7
8,603,7
8,643,7
8,645,7
8,808,7
8,825,7
8,832,8
9,19,1
9,33,1
9,34,9
9,37,1
9,84,1
9,91,1
9,92,3
9,109,10
9,176,1
9,326,2
10,19,1
10,44,2
10,53,13
10,82,12
10,99,17
10,122,4
10,128,17
10,154,21
10,186,18
10,202,13
10,226,1
10,232,14
10,239,1
10,248,20
10,276,15
10,307,16
10,322,15
10,330,17
10,384,13
10,433,14
10,447,14
10,480,18
10,485,8
10,499,1
10,604,4
11,14,4
11,19,1
11,23,49
11,41,54
11,43,3
11,74,2
11,78,1
11,79,21
11,80,3
11,81,1
11,99,2
11,116,5
11,134,3
11,148,4
11,164,2
11,169,1
11,176,14
11,201,28
11,214,20
11,227,24
11,247,42
11,270,19
11,272,2
11,283,2
11,294,2
11,295,3
11,310,23
11,313,19
11,316,19
11,328,17
11,330,1
11,334,19
11,360,19
11,367,19
11,413,2
11,427,3
11,446,19
11,453,1
11,462,4
11,479,19
11,605,18
11,674,2
11,677,17
11,828,19
12,181,6
12,264,3
12,332,2
12,420,2
12,558,3
12,571,4
12,847,1
13,7,1
13,124,1
13,126,4
13,156,2
13,267,7
13,402,2
13,415,1
14,11,3
14,43,1
14,101,34
14,169,1
14,176,4
14,189,1
14,279,2
14,295,1
14,432,1
14,674,6
15,26,16
15,76,34
15,222,55
15,444,6
15,503,1
15,515,5
16,63,9
16,90,6
16,116,19
16,419,1
16,476,52
16,859,5
17,55,2
17,97,2
17,141,1
17,166,3
17,198,4
17,215,2
17,349,2
17,447,4
18,40,2
18,66,1
18,88,1
18,95,1
18,116,2
18,208,2
18,240,1
18,303,2
18,424,1
19,7,2
19,10,4
19,11,1
19,13,1
19,22,2
19,24,3
19,29,1
19,34,1
19,43,1
19,44,2
19,54,1
19,60,1
19,67,2
19,68,4
19,69,17
19,72,1
19,73,4
19,74,1
19,83,2
19,84,1
19,91,1
19,99,2
19,109,8
19,112,13
19,118,1
19,120,3
19,129,2
19,132,7
19,145,2
19,162,2
19,165,2
19,166,2
19,169,10
19,174,5
19,176,3
19,180,2
19,182,1
19,185,2
19,195,1
19,196,1
19,210,1
19,211,5
19,212,3
19,216,5
19,226,2
19,235,7
19,237,4
19,239,1
19,246,1
19,260,7
19,262,24
19,268,15
19,275,1
19,278,1
19,285,13
19,288,2
19,313,1
19,330,2
19,340,1
19,358,4
19,362,1
19,410,1
19,414,1
19,472,2
19,486,2
19,514,3
19,578,1
19,624,1
19,650,2
19,826,2
19,850,1
20,3,3
20,22,1
20,30,1
20,38,1
20,48,1
20,49,2
20,60,5
20,103,3
20,107,1
20,150,1
20,153,1
20,200,1
20,205,5
20,251,1
20,259,1
20,280,3
20,310,3
20,313,2
20,327,3
20,345,1
20,358,1
20,441,2
20,462,1
21,429,68
22,19,4
22,30,1
22,32,2
22,34,2
22,133,3
22,176,6
22,522,1
23,8,1
23,9,1
23,11,13
23,44,3
23,75,1
23,81,1
23,83,3
23,89,4
23,91,1
23,106,4
23,112,1
23,118,1
23,120,2
23,142,2
23,158,2
23,180,1
23,181,1
23,184,2
23,188,2
23,196,1
23,204,2
23,227,1
23,235,2
23,239,1
23,285,1
23,313,2
23,319,1
23,390,2
23,410,1
23,534,1
23,578,1
23,606,1
24,26,1
24,170,1
24,318,1
24,444,11
25,9,1
25,34,1
25,121,7
25,308,1
25,512,17
26,15,5
26,24,4
26,64,2
26,68,1
26,76,6
26,135,6
26,222,4
26,370,10
26,376,3
26,444,2
26,569,3
27,8,17
27,106,18
27,114,15
27,158,2
27,308,1
27,372,13
27,496,17
27,515,15
28,46,27
28,53,29
28,57,1
28,101,13
28,197,1
28,265,29
28,463,1
28,470,2
29,288,2
29,826,1
30,19,1
30,22,3
30,83,15
30,91,2
30,130,1
30,139,7
30,171,1
30,179,1
30,230,1
30,282,3
30,522,8
30,524,5
31,6,10
31,19,1
31,120,1
31,190,7
31,192,2
31,220,6
31,246,1
31,333,4
31,341,1
31,383,1
31,426,1
31,460,5
31,511,1
31,516,1
32,22,2
32,64,23
32,69,1
32,76,19
32,97,1
32,111,2
32,120,1
32,131,1
32,176,14
32,187,29
32,210,1
32,268,2
32,281,1
32,312,19
32,362,1
32,385,1
32,411,1
32,437,1
32,456,1
32,486,1
33,9,1
33,34,33
33,37,2
34,5,17
34,9,52
34,19,1
34,22,3
34,25,4
34,33,25
34,37,4
34,51,9
34,84,8
34,91,3
34,98,10
34,103,3
34,106,2
34,109,6
34,150,13
34,183,1
34,187,1
34,221,23
34,262,1
34,312,1
34,326,3
34,355,2
34,389,3
34,500,1
34,532,1
34,545,16
34,561,15
34,586,1
35,38,4
35,145,1
36,19,1
36,42,1
36,50,3
36,91,1
36,157,1
36,280,3
36,285,1
37,9,12
37,33,3
37,34,9
37,58,10
37,103,2
37,108,7
37,355,6
37,539,3
38,35,5
38,103,7
38,144,2
38,145,2
38,148,1
38,239,1
38,257,2
38,285,1
38,448,1
39,105,10
39,108,2
39,152,4
39,178,2
39,340,1
39,378,4
39,392,2
39,469,1
40,116,6
40,138,2
40,159,3
40,176,6
40,208,8
40,255,11
40,268,1
40,281,3
40,303,2
40,304,6
40,371,3
40,380,4
40,414,1
40,453,1
40,476,1
41,11,26
41,43,1
41,60,1
41,74,2
41,75,1
41,116,1
41,128,2
41,134,16
41,154,2
41,316,1
41,367,1
41,413,1
41,427,1
41,454,1
41,468,1
42,21,10
42,196,1
42,466,5
42,468,4
42,562,4
42,694,4
42,725,1
43,11,5
43,14,9
43,41,1
43,53,2
43,67,1
43,74,2
43,75,2
43,103,2
43,112,17
43,120,1
43,162,1
43,169,23
43,185,3
43,226,4
43,229,3
43,255,2
43,279,2
43,283,3
43,305,8
43,320,1
43,330,1
43,342,2
43,354,3
43,409,3
43,432,1
43,451,1
43,484,3
43,651,6
43,674,3
44,3,1
44,10,3
44,19,4
44,23,1
44,57,30
44,78,29
44,80,29
44,81,49
44,98,2
44,100,1
44,103,4
44,112,1
44,122,29
44,134,2
44,144,1
44,147,1
44,148,32
44,164,36
44,169,1
44,174,1
44,183,1
44,189,39
44,195,80
44,227,1
44,249,33
44,254,32
44,257,25
44,262,6
44,320,1
44,432,26
44,440,28
44,463,5
44,840,23
44,841,22
45,137,2
45,234,7
46,226,1
46,757,19
47,80,16
47,200,1
47,240,4
47,277,2
47,726,1
48,6,1
48,20,1
48,40,3
48,54,3
48,88,1
48,89,1
48,95,3
48,116,1
48,134,2
48,191,3
48,237,1
48,245,3
48,247,3
48,299,2
48,321,3
48,342,3
48,380,4
48,381,3
48,410,1
48,419,3
48,445,3
48,475,2
48,519,3
48,523,3
48,546,3
49,20,1
49,404,1
50,2,1
50,5,1
50,36,4
50,78,2
50,89,1
50,96,3
50,143,2
50,145,1
50,150,1
50,154,1
50,194,1
50,207,1
50,223,1
50,234,2
50,240,1
50,248,4
50,259,2
50,286,1
50,307,1
50,309,1
50,310,2
50,313,1
50,358,8
50,401,2
50,433,1
50,453,1
50,484,2
50,537,1
50,547,1
50,586,1
51,9,2
51,34,5
51,89,1
51,137,1
51,305,1
51,313,1
51,827,1
52,125,6
52,212,17
52,227,2
52,343,6
52,437,1
52,713,1
53,28,3
53,43,2
53,82,1
53,99,2
53,101,7
53,112,2
53,122,3
53,128,10
53,154,3
53,186,3
53,202,1
53,226,2
53,232,3
53,248,2
53,249,1
53,271,7
53,276,10
53,283,7
53,322,3
53,330,2
53,364,10
53,375,2
53,384,1
53,433,2
53,447,2
53,451,1
53,485,2
54,8,1
54,19,1
54,40,1
54,74,2
54,75,1
54,138,2
54,263,2
55,17,6
55,38,1
55,85,1
55,103,3
55,145,1
55,166,8
55,174,6
55,198,6
55,207,1
55,215,3
55,217,4
55,349,10
55,459,1
55,473,1
55,848,1
56,84,5
56,153,3
56,165,4
56,197,2
56,294,1
56,350,7
56,386,3
56,425,4
56,542,2
57,103,2
57,122,2
57,148,7
57,164,1
57,257,23
58,2,3
58,37,7
58,85,6
58,115,2
58,143,2
58,145,1
58,174,1
58,207,3
58,215,10
58,243,2
58,262,3
58,312,1
58,349,5
58,355,7
58,528,5
58,591,2
58,650,1
59,7,3
59,77,6
59,89,1
59,124,1
59,126,8
59,236,6
59,251,7
59,267,1
59,271,5
59,300,8
59,356,2
59,366,4
59,401,4
59,413,1
59,624,1
60,19,1
60,20,2
60,171,1
60,175,2
60,181,1
60,190,3
60,237,1
60,274,1
60,333,1
60,358,4
60,382,2
60,391,1
60,420,1
60,529,1
60,593,1
60,598,1
61,11,2
61,41,1
61,74,3
61,235,1
61,282,1
61,285,1
61,353,6
61,400,1
62,117,3
62,184,2
62,318,3
62,492,3
63,1,7
63,16,17
63,142,1
63,429,1
64,19,1
64,26,1
64,32,8
64,70,1
64,75,3
64,76,5
64,111,3
64,131,2
64,176,6
64,187,1
64,197,6
64,242,1
64,262,1
64,268,2
64,289,3
64,320,7
64,376,2
64,382,1
64,389,1
64,437,4
64,449,1
64,665,1
64,880,1
65,218,16
65,471,2
65,839,6
